id,category,itemName,description,unit,estimatedPrice,displayLabel,originalNo,sourceFile,notes
KU1405-CLEAN-001,صفایي,جارو,باڼسي خاشووالا,عدد,15,صفایي | جارو | باڼسي خاشووالا | عدد,1,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-002,صفایي,پاسپاس,فلزي غټ اسفنجي,عدد,130,صفایي | پاسپاس | فلزي غټ اسفنجي | عدد,2,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-003,صفایي,برس,دکمود مینځلولپاره اهني لاستي والا,عدد,35,صفایي | برس | دکمود مینځلولپاره اهني لاستي والا | عدد,3,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-004,صفایي,پاسپاس,تاروالا۵۰سانتي متره,عدد,115,صفایي | پاسپاس | تاروالا۵۰سانتي متره | عدد,4,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-005,صفایي,برس,دصفائي لپاره پاکستاني غټ (د فرش پرېولو),عدد,25,صفایي | برس | دصفائي لپاره پاکستاني غټ (د فرش پرېولو) | عدد,5,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-006,صفایي,تیزاب,تیرک، دکموډاوکاشی پریوللولپاره,بوتل,55,صفایي | تیزاب | تیرک، دکموډاوکاشی پریوللولپاره | بوتل,6,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-007,صفایي,ګډوې,پلاستیکي وطني اصلي غټ ډ بلي,عدد,20,صفایي | ګډوې | پلاستیکي وطني اصلي غټ ډ بلي | عدد,7,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-008,صفایي,برس,رولروالاچهارقولو,عدد,50,صفایي | برس | رولروالاچهارقولو | عدد,8,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-009,صفایي,شیشه صفاکن,صفوناوطني دښیښوپاکولومایع,بوتل,40,صفایي | شیشه صفاکن | صفوناوطني دښیښوپاکولومایع | بوتل,9,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-010,صفایي,ټوکر,نخي دصافو لپاره,متر,10,صفایي | ټوکر | نخي دصافو لپاره | متر,10,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-011,صفایي,خاک انداز,پلاستیکي وطني,عدد,20,صفایي | خاک انداز | پلاستیکي وطني | عدد,11,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-012,صفایي,کچره داني,۶۰لیټره ساده,عدد,1050,صفایي | کچره داني | ۶۰لیټره ساده | عدد,12,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-013,صفایي,صابون(پوډري),دکالوپریوللولپاره دنیا مالیزیاوالا,قطۍ,47,صفایي | صابون(پوډري) | دکالوپریوللولپاره دنیا مالیزیاوالا | قطۍ,13,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-014,صفایي,تیزاب,کارټکس دکالودلکوصفاکولومایع۴لیټره,بوتل,160,صفایي | تیزاب | کارټکس دکالودلکوصفاکولومایع۴لیټره | بوتل,14,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-015,صفایي,چمپلان,داوداسه لپاره پلاستیکي,عدد,60,صفایي | چمپلان | داوداسه لپاره پلاستیکي | عدد,15,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-016,صفایي,صابون,ډیټول اورجینل ۸۵ګرامه,عدد,33,صفایي | صابون | ډیټول اورجینل ۸۵ګرامه | عدد,16,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-017,صفایي,تشناب کاغذ,سور,بسته,55,صفایي | تشناب کاغذ | سور | بسته,17,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-018,صفایي,دسکشي,ربړي,قطۍ,30,صفایي | دسکشي | ربړي | قطۍ,18,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-019,صفایي,ډيټول,مايع,بوتل,130,صفایي | ډيټول | مايع | بوتل,19,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-020,صفایي,صابون,خوشبويه,درجن,21,صفایي | صابون | خوشبويه | درجن,20,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-021,صفایي,شامپو,د لوښو پرېولو لپاره,بوتل,85,صفایي | شامپو | د لوښو پرېولو لپاره | بوتل,21,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-022,صفایي,هنډواش,بوتلي,بوتل,65,صفایي | هنډواش | بوتلي | بوتل,22,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-023,صفایي,کلورين,انټي سيپټيک,بوتل,70,صفایي | کلورين | انټي سيپټيک | بوتل,23,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-024,صفایي,کڅوڼي,پلاسټيکي توري,کيلو,70,صفایي | کڅوڼي | پلاسټيکي توري | کيلو,24,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-025,صفایي,صابون دانۍ,پلاستيکي,عدد,20,صفایي | صابون دانۍ | پلاستيکي | عدد,25,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-026,صفایي,کچره داني,کوچنۍ د تشناب لپاره,عدد,70,صفایي | کچره داني | کوچنۍ د تشناب لپاره | عدد,26,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-027,صفایي,تيزاب,ګندک,بوتل,80,صفایي | تيزاب | ګندک | بوتل,27,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-028,صفایي,لوند کاغذ,د لابراتوار لپاره,قطۍ,40,صفایي | لوند کاغذ | د لابراتوار لپاره | قطۍ,28,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-CLEAN-029,صفایي,ماسکونه,فلټر لرونکي,عدد,120,صفایي | ماسکونه | فلټر لرونکي | عدد,29,د ۱۴۰۵ کال صفایي تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-001,فرنیچري,المارۍ,چوبي وطني,عدد,5500,فرنیچري | المارۍ | چوبي وطني | عدد,1,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-002,فرنیچري,المارۍ,فلزي وطني ډبله,عدد,4800,فرنیچري | المارۍ | فلزي وطني ډبله | عدد,2,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-003,فرنیچري,چوکۍ,دفتري څرخي DDS,عدد,6800,فرنیچري | چوکۍ | دفتري څرخي DDS | عدد,3,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-004,فرنیچري,چوکۍ,د مراجعینو لپاره وطني چرمي ډبل جوړ,عدد,500,فرنیچري | چوکۍ | د مراجعینو لپاره وطني چرمي ډبل جوړ | عدد,4,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-005,فرنیچري,ميزونه,د فتري 70*160 کي وطني,سيټه,8000,فرنیچري | ميزونه | د فتري 70*160 کي وطني | سيټه,5,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-006,فرنیچري,ميزونه,د غونډو لپاره 60*3 کي وطني,پايې,23000,فرنیچري | ميزونه | د غونډو لپاره 60*3 کي وطني | پايې,6,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-007,فرنیچري,غالۍ,ایراني اعلي کیفیت 4*3 کي,عدد,7000,فرنیچري | غالۍ | ایراني اعلي کیفیت 4*3 کي | عدد,7,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-008,فرنیچري,سيټ کوچ,۷ نفري وطني د چای خوري میزو سره,سيټه,32000,فرنیچري | سيټ کوچ | ۷ نفري وطني د چای خوري میزو سره | سيټه,8,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-009,فرنیچري,فرش,ایرانی پردیس اعلی کیفیت ۴ متره بر لرونکی د اواریدو سره,متره,430,فرنیچري | فرش | ایرانی پردیس اعلی کیفیت ۴ متره بر لرونکی د اواریدو سره | متره,9,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-010,فرنیچري,پردې,بخمل 3D اصلي ډیزاینداره ټوکر کي د نصب سره,متره,450,فرنیچري | پردې | بخمل 3D اصلي ډیزاینداره ټوکر کي د نصب سره | متره,10,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-011,فرنیچري,ميزونه,7*20 /120 کي تایلنډي تخته کي وطني,عدد,38000,فرنیچري | ميزونه | 7*20 /120 کي تایلنډي تخته کي وطني | عدد,11,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-012,فرنیچري,ويټرين,20*1 وطني دوه پله یي هینداره لرونکي فلزي دستو والا,عدد,3500,فرنیچري | ويټرين | 20*1 وطني دوه پله یي هینداره لرونکي فلزي دستو والا | عدد,12,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-013,فرنیچري,چوکۍ,پلاستیکي کابل نوبل,عدد,500,فرنیچري | چوکۍ | پلاستیکي کابل نوبل | عدد,13,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-014,فرنیچري,سيټ کوچ,۱۰ نفري وطني د چای خوري میزو سره,سيټ,33000,فرنیچري | سيټ کوچ | ۱۰ نفري وطني د چای خوري میزو سره | سيټ,14,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-FURN-015,فرنیچري,سټيج,جابه لرونکي وطني چوبي د لوګو او خط سره,عدد,2500,فرنیچري | سټيج | جابه لرونکي وطني چوبي د لوګو او خط سره | عدد,15,د ۱۴۰۵ کال فرنیچري تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-COMP-001,کمپیوټري,پلازما,سمسنګ 85 انچه د دیوالي سټینډ سره,پايه,61450,کمپیوټري | پلازما | سمسنګ 85 انچه د دیوالي سټینډ سره | پايه,1,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-002,کمپیوټري,پرينټر,ساده HP LASERJET MFP 236SDN,پايه,16900,کمپیوټري | پرينټر | ساده HP LASERJET MFP 236SDN | پايه,2,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-003,کمپیوټري,پرينټر,رنګه HP LASERJET 200 PRO,پايه,30700,کمپیوټري | پرينټر | رنګه HP LASERJET 200 PRO | پايه,3,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-004,کمپیوټري,پروجکټور,EPSON W01,پايه,24500,کمپیوټري | پروجکټور | EPSON W01 | پايه,4,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-005,کمپیوټري,کمپيوټر,LAPTOP DELL 11GEN 16 GB RAM 1TB SSD,پايه,48000,کمپیوټري | کمپيوټر | LAPTOP DELL 11GEN 16 GB RAM 1TB SSD | پايه,5,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-006,کمپیوټري,کمپيوټر,DESKTOP DELL 13GEN 16 GB RAM 1TB SSD,پايه,58000,کمپیوټري | کمپيوټر | DESKTOP DELL 13GEN 16 GB RAM 1TB SSD | پايه,6,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-007,کمپیوټري,کيمره,CANON,عدد,25000,کمپیوټري | کيمره | CANON | عدد,7,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-008,کمپیوټري,کاپي ماشين,TASKALFA 6004I غټ ساده,پايه,480000,کمپیوټري | کاپي ماشين | TASKALFA 6004I غټ ساده | پايه,8,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-009,کمپیوټري,سکينر,HP LASERJET PRO 2600F1,پايه,18000,کمپیوټري | سکينر | HP LASERJET PRO 2600F1 | پايه,9,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-010,کمپیوټري,هارډيسک,SANDISK 1TB SSD,عدد,9600,کمپیوټري | هارډيسک | SANDISK 1TB SSD | عدد,10,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-011,کمپیوټري,فلش,64GB,عدد,500,کمپیوټري | فلش | 64GB | عدد,11,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-012,کمپیوټري,ماوس,ZORNWEE GM02,عدد,150,کمپیوټري | ماوس | ZORNWEE GM02 | عدد,12,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-013,کمپیوټري,کيبورډ,DELL,عدد,350,کمپیوټري | کيبورډ | DELL | عدد,13,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-014,کمپیوټري,مسالې,DURACELL AAA ریموټي,جوړه,50,کمپیوټري | مسالې | DURACELL AAA ریموټي | جوړه,14,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-015,کمپیوټري,pointer,LOGITECH R 400,عدد,700,کمپیوټري | pointer | LOGITECH R 400 | عدد,15,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-016,کمپیوټري,UPS,MAXMA 2000 W,عدد,8500,کمپیوټري | UPS | MAXMA 2000 W | عدد,16,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-COMP-017,کمپیوټري,مسالې,قلمي DURACELL AA,جوړه,50,کمپیوټري | مسالې | قلمي DURACELL AA | جوړه,17,د ۱۴۰۵ کال کمپیوټري تجهیزاتو تخمیني نرخونو لست(1).xlsx,
KU1405-OFFC-001,دفتري,ایرکنډیشن,2 ټن GEEPAS,عدد,39000,دفتري | ایرکنډیشن | 2 ټن GEEPAS | عدد,1,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-002,دفتري,کچره داني,جالۍ داره تور فلزي,عدد,290,دفتري | کچره داني | جالۍ داره تور فلزي | عدد,2,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-003,دفتري,کولر,ایرانی مشهد دوام MD300 هوا دهي 3000,عدد,7200,دفتري | کولر | ایرانی مشهد دوام MD300 هوا دهي 3000 | عدد,3,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-004,دفتري,د ګازو ډبه,ایرانی اندیشه ۱۲ کیلویي,عدد,1550,دفتري | د ګازو ډبه | ایرانی اندیشه ۱۲ کیلویي | عدد,4,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-005,دفتري,واټر کولر,یخچال والا نیشنل پاور کمپنۍ,عدد,6300,دفتري | واټر کولر | یخچال والا نیشنل پاور کمپنۍ | عدد,5,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-006,دفتري,بخاری,GEEPAS 2IN1,عدد,2100,دفتري | بخاری | GEEPAS 2IN1 | عدد,6,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-007,دفتري,دیوالی ساعت,۱۴ انچه سپین,عدد,400,دفتري | دیوالی ساعت | ۱۴ انچه سپین | عدد,7,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-008,دفتري,یخچال,دوه دروازه یي میانه سایز GENRAL,عدد,10000,دفتري | یخچال | دوه دروازه یي میانه سایز GENRAL | عدد,8,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-009,دفتري,کنټرولر,ایرانی اصلي,عدد,80,دفتري | کنټرولر | ایرانی اصلي | عدد,9,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-010,دفتري,د بخارۍ پيپ,ایرانی ۱۲ کیلويي ډبو له پاره,متر,30,دفتري | د بخارۍ پيپ | ایرانی ۱۲ کیلويي ډبو له پاره | متر,10,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-011,دفتري,ترموزان,ایرانی اصلي شیشه والا ۲ لیټره,عدد,450,دفتري | ترموزان | ایرانی اصلي شیشه والا ۲ لیټره | عدد,11,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-012,دفتري,برقي جارو,ترکی BLOWING 2400W VIRA 25,عدد,4500,دفتري | برقي جارو | ترکی BLOWING 2400W VIRA 25 | عدد,12,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-013,دفتري,ګيلاسونه,فرانسوي د چای خوري له پاره,عدد,200,دفتري | ګيلاسونه | فرانسوي د چای خوري له پاره | عدد,13,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-014,دفتري,تجرۍ,افغانستان جوړ ایرانی ماډل میانه سایز,عدد,6700,دفتري | تجرۍ | افغانستان جوړ ایرانی ماډل میانه سایز | عدد,14,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-015,دفتري,پتنوس,غټ سایز پلاستیکي ډبل ګلداره,عدد,350,دفتري | پتنوس | غټ سایز پلاستیکي ډبل ګلداره | عدد,15,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-016,دفتري,ګيلاسونه,د اوبو څشلو پلاستیکي غټ,عدد,30,دفتري | ګيلاسونه | د اوبو څشلو پلاستیکي غټ | عدد,16,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-017,دفتري,Adopter,شین رنګ چارجر,عدد,400,دفتري | Adopter | شین رنګ چارجر | عدد,17,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-018,دفتري,پلميټ دانۍ,ناشکن فرانسوي میانه سایز,عدد,50,دفتري | پلميټ دانۍ | ناشکن فرانسوي میانه سایز | عدد,18,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-019,دفتري,ګيزر,۵۰ لیټره اریسټون کمپنۍ,عدد,6500,دفتري | ګيزر | ۵۰ لیټره اریسټون کمپنۍ | عدد,19,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
KU1405-OFFC-020,دفتري,د اوبو فلټر,KRYSTAL SOURCE,عدد,3800,دفتري | د اوبو فلټر | KRYSTAL SOURCE | عدد,20,د ۱۴۰۵ کال دفتري  تجهیزاتو تخمیني نرخونه لیست(1).xlsx,
